I_est,F,G,A,H,T
1020813120,"[0.7720000147819519, [['1020813120', 0.968999981880188], ['1026295355', 0.3540000021457672], ['1020814482', 0.2669999897480011], ['1015468211', 0.24899999797344208], ['1010224167', 0.19499999284744263], ['1019115391', 0.17399999499320984], ['1031137228', 0.1679999977350235], ['1019107402', 0.10999999940395355], ['1049644393', 0.07199999690055847], ['1014258880', 0.05400000140070915]]]","[['Female', 0.7540000081062317], ['Male', 0.2459999918937683]]","[21L, 0.5]","[158.3000030517578, 0.07999999821186066]",814
0,"[0.6899999976158142, [['1019115391', 0.4740000069141388], ['1019107402', 0.3700000047683716], ['1010224167', 0.367000013589859], ['1020814482', 0.2540000081062317], ['1049644393', 0.24400000274181366], ['1031137228', 0.23800000548362732], ['1020813120', 0.20399999618530273], ['1015468211', 0.12999999523162842], ['1026295355', 0.050999999046325684], ['1014258880', 0.0]]]","[['Female', 0.0], ['Male', 1.0]]","[27L, 0.5]","[177.60000610351562, 0.07999999821186066]",815
0,"[0.8600000143051147, [['1020813120', 0.37400001287460327], ['1010224167', 0.3700000047683716], ['1020814482', 0.3009999990463257], ['1026295355', 0.28299999237060547], ['1019115391', 0.2750000059604645], ['1015468211', 0.2720000147819519], ['1031137228', 0.25099998712539673], ['1019107402', 0.17499999701976776], ['1072709246', 0.16099999845027924], ['1049644393', 0.06800000369548798], ['1014258880', 0.006000000052154064]]]","[['Female', 0.777999997138977], ['Male', 0.22200000286102295]]","[24L, 0.5]","[168.5, 0.07999999821186066]",816
0,"[0.6859999895095825, [['1031137228', 0.48100000619888306], ['1019107402', 0.46700000762939453], ['1072709246', 0.382999986410141], ['1019115391', 0.328000009059906], ['1010224167', 0.1860000044107437], ['1015468211', 0.10100000351667404], ['1026295355', 0.09700000286102295], ['1102878153', 0.09300000220537186], ['1020814482', 0.0820000022649765], ['1049644393', 0.054999999701976776], ['1020813120', 0.03200000151991844], ['1014258880', 0.0]]]","[['Female', 0.0], ['Male', 1.0]]","[29L, 0.6660000085830688]","[179.39999389648438, 0.07999999821186066]",816
0,"[0.7649999856948853, [['1072709246', 0.5230000019073486], ['1019115391', 0.5139999985694885], ['1010224167', 0.3799999952316284], ['436994', 0.296999990940094], ['1049644393', 0.29100000858306885], ['1020814482', 0.27799999713897705], ['1019107402', 0.18799999356269836], ['1031137228', 0.164000004529953], ['1015468211', 0.0989999994635582], ['1020813120', 0.09700000286102295], ['1102878153', 0.09099999815225601], ['1026295355', 0.07400000095367432], ['1014258880', 0.0]]]","[['Female', 0.0], ['Male', 1.0]]","[32L, 0.5]","[200.0, 0.07999999821186066]",817
0,"[0.6840000152587891, [['1026295355', 0.41600000858306885], ['1020813120', 0.3569999933242798], ['1020814482', 0.28299999237060547], ['1015468211', 0.2199999988079071], ['1019115391', 0.19300000369548798], ['1010224167', 0.1770000010728836], ['1019107402', 0.17399999499320984], ['1102878153', 0.10999999940395355], ['1031137228', 0.0989999994635582], ['1014258880', 0.09799999743700027], ['1049644393', 0.08299999684095383], ['1072709246', 0.05700000002980232], ['436994', 0.03799999877810478], ['1073518685', 0.0]]]","[['Female', 0.49000000953674316], ['Male', 0.5099999904632568]]","[22L, 0.4000000059604645]","[200.5, 0.07999999821186066]",817
0,"[0.7239999771118164, [['1020814482', 0.367000013589859], ['1019115391', 0.33899998664855957], ['1020813120', 0.2619999945163727], ['1049644393', 0.2590000033378601], ['1126242201', 0.2590000033378601], ['1026295355', 0.2240000069141388], ['1072709246', 0.19900000095367432], ['1015468211', 0.18700000643730164], ['1031137228', 0.18000000715255737], ['1010224167', 0.1720000058412552], ['1102878153', 0.1420000046491623], ['1073518685', 0.06700000166893005], ['1019107402', 0.052000001072883606], ['436994', 0.0430000014603138], ['1014258880', 0.023000000044703484]]]","[['Female', 0.12099999189376831], ['Male', 0.8790000081062317]]","[24L, 0.5]","[202.8000030517578, 0.07999999821186066]",818
0,"[9.999999974752427e-07, [['1010224167', 0.06199999898672104], ['1014258880', 0.06199999898672104], ['1015468211', 0.06199999898672104], ['1019107402', 0.06199999898672104], ['1019115391', 0.06199999898672104], ['1020813120', 0.06199999898672104], ['1020814482', 0.06199999898672104], ['1022422154', 0.06199999898672104], ['1026295355', 0.06199999898672104], ['1031137228', 0.06199999898672104], ['1049644393', 0.06199999898672104], ['1072709246', 0.06199999898672104], ['1073518685', 0.06199999898672104], ['1102878153', 0.06199999898672104], ['1126242201', 0.06199999898672104], ['436994', 0.06199999898672104]]]","[['Female', 0.5], ['Male', 0.5]]","[35L, 0L]","[181.8000030517578, 0.07999999821186066]",819
0,"[0.7310000061988831, [['1022422154', 0.32100000977516174], ['1020813120', 0.28600001335144043], ['1031137228', 0.25200000405311584], ['1010224167', 0.2409999966621399], ['1126242201', 0.2409999966621399], ['1020814482', 0.22699999809265137], ['1019115391', 0.21699999272823334], ['1072709246', 0.2160000056028366], ['1026295355', 0.18799999356269836], ['1094962099', 0.17000000178813934], ['1073518685', 0.15299999713897705], ['1019107402', 0.09000000357627869], ['1049644393', 0.08900000154972076], ['1102878153', 0.07400000095367432], ['436994', 0.07000000029802322], ['1015468211', 0.06499999761581421], ['1014258880', 0.05999999865889549]]]","[['Female', 0.2940000295639038], ['Male', 0.7059999704360962]]","[21L, 0.6660000085830688]","[185.39999389648438, 0.07999999821186066]",820
0,"[0.6830000281333923, [['1094962099', 0.367000013589859], ['1026295355', 0.3569999933242798], ['1102878153', 0.2919999957084656], ['1015468211', 0.26499998569488525], ['1020813120', 0.2630000114440918], ['1019115391', 0.1509999930858612], ['1020814482', 0.1509999930858612], ['1031137228', 0.13199999928474426], ['1019107402', 0.11999999731779099], ['1126242201', 0.09600000083446503], ['436994', 0.09099999815225601], ['1022422154', 0.08799999952316284], ['1010224167', 0.08100000023841858], ['1001269777', 0.06800000369548798], ['1049644393', 0.024000000208616257], ['1014258880', 0.019999999552965164], ['1073518685', 0.003000000026077032], ['1072709246', 0.0]]]","[['Female', 0.847000002861023], ['Male', 0.15299999713897705]]","[20L, 0.4000000059604645]","[187.6999969482422, 0.07999999821186066]",820
