I_real,I_est,I_prob,Calc_time,R
1020813120,1020813120,"[0.01757291 0.05917305 0.32536993 0.11881274 0.06303673 0.0914066
 0.14484677 0.08961904 0.04176396 0.04839827]",34.30223083496094,1
1072709246,0,"[0.0607282  0.1500717  0.07666811 0.07184545 0.17627984 0.14057677
 0.04311614 0.11990855 0.01009472 0.15071052]",80.57711601257324,1
1102878153,0,"[0.07614216 0.09087692 0.15673055 0.08479683 0.0835992  0.12263652
 0.09984586 0.09393237 0.01517068 0.07453836 0.10173055]",96.77153897285461,1
436994,0,"[0.04889913 0.15090147 0.03754589 0.05519545 0.13110922 0.08296724
 0.0539352  0.05704584 0.00792074 0.16029123 0.16114153 0.05304705]",75.57445096969604,1
1073518685,0,"[0.06651973 0.05560111 0.04936832 0.03902837 0.15752525 0.09897508
 0.03269291 0.09610029 0.00698169 0.06774042 0.14384162 0.05079012
 0.13483508]",78.12611699104309,1
1126242201,0,"[0.07181074 0.033698   0.13567455 0.06906817 0.08580175 0.06387063
 0.10611225 0.10256238 0.04084568 0.06807385 0.05475489 0.07986882
 0.04812378 0.0397345 ]",88.88382601737976,1
1022422154,0,"[0.06192028 0.05526528 0.08312728 0.04862748 0.10286789 0.05367796
 0.0624458  0.10273567 0.0186431  0.03198904 0.0837105  0.07519176
 0.05074646 0.06641147 0.10264003]",70.5537760257721,1
1094962099,0,"[0.03924164 0.05787514 0.0538774  0.05483055 0.06788139 0.05787514
 0.05483055 0.06693236 0.04717431 0.06437607 0.06120561 0.05851506
 0.07493966 0.0741629  0.08245622 0.08382599]",121.24333000183105,1
1001269777,0,"[0.03890597 0.0511176  0.07067069 0.03138736 0.08016004 0.06841826
 0.05469843 0.08006003 0.01898864 0.03409537 0.05544393 0.039923
 0.04086374 0.06287318 0.09624823 0.10927383 0.06687169]",83.96875,1
1020804505,0,"[0.04928793 0.03296197 0.08176334 0.06611066 0.05976073 0.03178259
 0.0741577  0.05738743 0.01125706 0.04204447 0.01892646 0.07500105
 0.0412226  0.02509639 0.07758237 0.06423523 0.12344051 0.0679815 ]",66.96971893310547,1
1020815953,0,"[0.0317864  0.04829191 0.04319503 0.04590705 0.05518642 0.04829191
 0.04590705 0.05474053 0.0396566  0.05309522 0.04915605 0.04737351
 0.05991469 0.05851777 0.06723495 0.06731925 0.05838862 0.06572219
 0.06031486]",132.70916509628296,1
1020804987,0,"[0.037009   0.03278852 0.08643876 0.03154275 0.05327481 0.04947385
 0.06861146 0.06395331 0.00509271 0.03247865 0.03468756 0.09208041
 0.04499244 0.03365976 0.07038589 0.03419982 0.05377114 0.04556503
 0.10521731 0.02477682]",73.32057094573975,1
1015468796,0,"[0.03248366 0.08010431 0.03866715 0.04309848 0.06239142 0.04768793
 0.03511981 0.06670301 0.00367024 0.04417905 0.0631937  0.04162388
 0.04400411 0.04290133 0.05983069 0.08253768 0.03130652 0.07408317
 0.0372974  0.04175395 0.02736252]",84.78874087333679,1
1014258880,0,"[0.02633307 0.03194993 0.06786548 0.05281843 0.03928991 0.04817097
 0.08019675 0.04886757 0.00347959 0.029748   0.02926255 0.0493973
 0.02356885 0.02328412 0.06511278 0.0664     0.0568147  0.04075782
 0.08955867 0.03000422 0.05483141 0.04228788]",67.99622702598572,1
